number_volume,number_issue,number_article,type,link
10,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690802076021
10,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701846946
10,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701771813
10,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744406
10,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701326832
10,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701833258
10,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701833480
10,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744364
10,3,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690802087713
10,3,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616690802087739
10,3,11,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155670
10,3,12,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155746
10,3,13,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155753
