number_volume,number_issue,number_article,type,link
12,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.519576
12,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.515824
12,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483003
12,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483004
12,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483007
12,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483005
12,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.497226
12,4,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003594820
12,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003665729
12,4,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003732461
