number_volume,number_issue,number_article,type,link
16,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.876751
16,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859717
16,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.717634
16,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.809465
16,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.677051
16,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748928
16,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.787435
16,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.813957
16,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.847207
16,1,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.752856
16,1,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859719
