number_volume,number_issue,number_article,type,link
6,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690664
6,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690736
6,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690691
6,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690682
6,2,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690709
6,2,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690745
6,2,7,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690754
6,2,8,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690727
6,2,9,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690673
6,2,10,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690763
