number_volume,number_issue,number_article,type,link
14,2,1,correction,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.718199
14,2,2,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.688375
14,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676447
14,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676456
14,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676451
14,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676455
14,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676449
14,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676450
14,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676454
14,2,14,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657216
14,2,15,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676662
14,2,16,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676663
