number_volume,number_issue,number_article,type,link
16,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.902555
16,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.827230
16,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821619
16,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821621
16,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821620
16,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821622
16,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821623
16,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748929
16,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798019
16,2,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.809466
16,2,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.837189
