number_volume,number_issue,number_article,type,link
13,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.639577
13,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.624187
13,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514353
13,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580854
13,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.597868
13,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607240
13,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607239
13,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607241
13,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.641264
13,5,10,,https://www.tandfonline.com/doi/abs/10.1080/14616696.2011.633388
