number_volume,number_issue,number_article,type,link
15,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.858506
15,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798018
15,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749413
15,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721892
15,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.829241
15,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.840735
15,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638085
15,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.792116
15,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798020
15,5,10,,https://www.tandfonline.com/doi/abs/10.1080/14616696.2013.863993
