number_volume,number_issue,number_article,type,link
12,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.486596
12,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902874705
12,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903100456
12,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716894
12,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903388960
12,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902718381
12,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903056005
12,2,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616690903432347
12,2,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690903550320
12,2,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003588822
