number_volume,number_issue,number_article,type,link
16,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.923190
16,3,2,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916335
16,3,3,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916331
16,3,4,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916334
16,3,5,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916332
16,3,6,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916333
16,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.904916
16,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.813958
16,3,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.894547
16,3,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750729
16,3,11,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.878097
16,3,12,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.919011
16,3,13,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880498
