number_volume,number_issue,number_article,type,link
14,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749071
14,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726369
14,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.720271
14,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721890
14,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.709874
14,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.709531
14,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726368
14,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.707670
14,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748931
14,5,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748932
14,5,11,,https://www.tandfonline.com/doi/abs/10.1080/14616696.2012.755395
