number_volume,number_issue,number_article,type,link
14,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.660753
14,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638083
14,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.624188
14,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638084
14,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638082
14,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.547943
14,1,7,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.658226
14,1,8,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652425
14,1,9,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652531
14,1,10,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652536
14,1,11,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652537
14,1,12,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652532
14,1,13,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652535
14,1,14,,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.652538
14,1,15,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657215
14,1,16,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657214
