number_volume,number_issue,number_article,type,link
12,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.541209
12,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716902
12,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.497224
12,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003786350
12,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483006
12,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483009
12,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483010
12,5,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514351
12,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003665737
12,5,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003732693
