number_volume,number_issue,number_article,type,link
17,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1092210
17,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977321
17,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1064147
17,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1051074
17,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072228
17,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1051073
17,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1061682
17,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072226
17,4,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072229
17,4,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072227
17,4,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1058408
